134.3785	24.2
134.3867	24.04
134.3951	24.37
134.4034	24.13
134.4117	23.99
134.4201	24.5
134.4284	24.04
134.4367	24.26
134.4451	24.14
134.4534	24.08
134.4617	24.41
134.4701	24.22
134.4784	24.38
134.4867	24.18
134.4951	24.2
134.5034	24.52
134.5117	24.39
134.5201	24.2
134.5284	24.04
134.5367	24.23
134.5451	24.38
134.5534	24.04
134.5617	24.38
134.5701	24.44
134.5784	24.22
134.5867	24.34
134.5951	23.95
134.6034	24.07
134.6117	24.31
134.6201	24.12
134.6312	24.14
134.6367	24.08
134.6451	24.02
134.6534	24.08
134.6617	24.16
134.6701	23.65
134.6784	23.82
134.6867	24.03
134.6951	24.03
134.7034	24.45
134.7117	23.85
134.7201	24.19
134.7284	24.08
134.7367	24.05
134.7451	23.75
134.7534	23.83
134.7617	23.76
134.7701	23.9
134.7784	24.18
134.7867	23.88
134.7951	24.09
134.8034	23.93
134.8117	23.73
134.8201	24.01
134.8284	23.66
134.8367	23.8
134.8451	24.21
134.8534	23.89
134.8617	23.61
134.8701	23.6
134.8811	24.02
134.8867	23.82
134.8951	23.93
134.9034	23.81
134.9117	23.63
134.9201	23.8
134.9284	23.58
134.9367	23.75
134.9451	23.56
134.9534	23.79
134.9617	23.63
134.9701	23.83
134.9784	23.59
134.9867	23.73
134.9951	23.73
135.0034	23.88
135.0117	24.13
135.0201	24.2
135.0284	24.31
135.0367	24.33
135.0451	24.03
135.0534	24.08
135.0617	24.56
135.0701	24.25
135.0784	24.48
135.0867	24.34
135.0951	24.68
135.1034	24.66
135.1117	24.35
135.1201	24.89
135.1311	24.45
135.1367	24.48
135.1451	24.35
135.1534	24.71
135.1617	24.44
135.1701	24.89
135.1784	24.83
135.1867	25.11
135.1951	24.85
135.2034	25.09
135.2117	24.94
135.2201	25.37
135.2284	24.96
135.2367	25.04
135.2451	25.12
135.2534	24.76
135.2617	24.81
135.2701	24.88
135.2784	24.74
135.2867	24.82
135.2951	24.41
135.3034	24.84
135.3117	25.04
135.3201	24.61
135.3284	24.55
135.3367	24.7
135.3451	24.59
135.3534	24.88
135.3617	24.6
135.3701	24.51
135.3811	24.51
135.3867	24.74
135.3951	24.63
135.4034	24.63
135.4117	24.86
135.4201	24.84
135.4284	24.69
135.4367	24.73
135.4451	24.68
135.4534	24.59
135.4617	24.84
135.4701	24.69
135.4784	25.02
135.4867	24.25
135.4951	24.51
135.5034	24.52
135.5117	24.44
135.5201	24.55
135.5284	24.72
135.5367	24.74
135.5451	24.41
135.5534	24.81
135.5617	24.32
135.5701	24.43
135.5784	24.32
135.5867	24.27
135.5951	24.46
135.6034	24.29
135.6117	24.4
135.6201	24.44
135.6311	24.43
135.6367	24.14
135.6451	24.12
135.6534	24.15
135.6617	24.38
135.6701	24.33
135.6784	24.29
135.6867	24.13
135.6951	24.61
135.7034	24.49
135.7117	24.52
135.7201	24.26
135.7284	24.52
135.7367	24.55
135.7451	24.68
135.7534	24.61
135.7617	24.65
135.7701	24.83
135.7784	24.57
135.7867	24.45
135.7951	24.64
135.8034	24.72
135.8117	24.5
135.8201	24.69
135.8284	24.45
135.8367	24.39
135.8451	24.8
135.8534	24.62
135.8617	24.42
135.8701	24.51
135.8811	24.53
135.8867	24.72
135.8951	24.38
135.9034	24.18
135.9117	24.21
135.9201	24.46
135.9284	24.71
135.9367	24.73
135.9451	24.15
135.9534	24.5
135.9617	24.93
135.9701	24.9
135.9784	24.76
135.9867	24.6
135.9951	24.87
136.0034	24.75
136.0117	24.6
136.0201	24.69
136.0284	24.67
136.0367	24.7
136.0451	24.6
136.0534	24.09
136.0617	24.51
136.0701	24.31
136.0784	23.94
136.0867	24.2
136.0951	24.35
136.1034	24.33
136.1117	24.29
136.1201	24.22
136.1311	24.1
136.1367	24.55
136.1451	24.14
136.1534	24.36
136.1617	24.41
136.1701	24.56
136.1784	24.34
136.1867	24.47
136.1951	24.64
136.2034	24.42
136.2117	24.57
136.2201	24.4
136.2284	24.59
136.2367	24.34
136.2451	24.31
136.2534	24.42
136.2617	24.59
136.2701	24.7
136.2784	24.9
136.2867	24.24
136.2951	24.5
136.3034	24.52
136.3117	24.74
136.3201	24.49
136.3284	24.39
136.3367	24.48
136.3451	24.41
136.3534	24.64
136.3617	23.91
136.3701	24.02
136.3811	23.86
136.3867	24.02
136.3951	23.78
136.4034	23.99
136.4117	23.97
136.4201	23.62
136.4284	24.05
136.4367	23.98
136.4451	24.07
136.4534	23.7
136.4617	24.12
136.4701	23.87
136.4784	23.89
136.4867	23.92
136.4951	23.85
136.5034	23.96
136.5117	24.41
136.5201	23.99
136.5284	24
136.5367	24.24
136.5451	24.39
136.5534	23.98
136.5617	23.82
136.5701	24.35
136.5784	23.98
136.5867	24.11
136.5951	24.19
136.6034	24.52
136.6117	24.19
136.6201	24.37
136.6311	24.38
136.6367	23.84
136.6451	24.13
136.6534	24.19
136.6617	24.05
136.6701	24.23
136.6784	23.83
136.6867	24.15
136.6951	24.15
136.7034	24.01
136.7117	24.18
136.7201	24.02
136.7284	24.16
136.7367	24.18
136.7451	23.93
136.7534	24.24
136.7617	24.14
136.7701	24.14
136.7784	24.46
136.7867	23.99
136.7951	23.99
136.8034	23.95
136.8117	24.02
136.8201	23.93
136.8284	23.99
136.8367	23.68
136.8451	23.93
136.8534	23.83
136.8617	23.87
136.8701	23.94
136.8811	23.79
136.8868	23.97
136.8951	23.79
136.9034	23.68
136.9117	23.73
136.9201	23.75
136.9284	23.9
136.9367	23.85
136.9451	24.08
136.9534	23.99
136.9617	23.88
136.9701	24.02
136.9784	23.83
136.9867	23.91
136.9951	24.06
137.0034	23.91
137.0117	23.5
137.0201	23.77
137.0284	23.48
137.0367	23.8
137.0451	24
137.0534	23.69
137.0617	24.36
137.0701	23.37
137.0784	23.17
137.0867	23.05
137.0951	23.41
137.1034	22.99
137.1117	23.16
137.1201	23.19
137.1311	23.29
137.1367	23.51
137.1451	23.18
137.1534	23.61
137.1617	23.51
137.1701	23.6
137.1784	23.94
137.1867	23.38
137.1951	23.3
137.2034	24.08
137.2117	23.58
137.2201	23.93
137.2284	23.49
137.2367	23.98
137.2451	24.04
137.2534	23.88
137.2617	24.21
137.2701	23.89
137.2784	23.95
